,Residuals
GSM1052046_5730053027_R06C02,1.176
GSM1051753_7800246044_R02C02,0.956
GSM1052111_5730192042_R04C02,0.895
GSM1052007_5771710059_R01C02,0.918
GSM1051948_5730504060_R06C02,0.913
GSM1052043_5730053027_R01C02,1.305
GSM1051566_7800246123_R06C01,1.038
GSM1051939_5730504060_R01C01,1.114
GSM1051533_7800246024_R03C02,1.030
GSM1051613_7800246188_R01C02,0.914
GSM1051547_7800246085_R05C02,0.835
GSM1052164_5730053030_R02C01,1.002
GSM1051860_7512560128_R05C02,0.918
GSM1051726_7800246040_R05C01,0.943
GSM1051827_7512560115_R01C01,0.978
GSM1051653_7800246043_R01C01,0.877
GSM1051787_7800246068_R03C02,0.923
GSM1051564_7800246123_R04C01,1.029
GSM1051557_7800246087_R03C02,1.078
GSM1051914_5730504013_R05C02,0.860
GSM1051623_7796814016_R01C02,0.955
GSM1051714_7800246034_R05C01,0.873
GSM1051645_7800246018_R05C01,0.967
GSM1051603_7800246140_R03C02,0.785
GSM1051617_7800246188_R06C02,1.037
GSM1051884_7766130166_R06C02,0.950
GSM1051612_7800246188_R06C01,0.938
GSM1051712_7800246034_R03C01,0.846
GSM1051996_5771710048_R05C02,1.020
GSM1052028_5730053011_R01C01,1.079
GSM1051571_7800246123_R05C02,0.839
GSM1051672_7800246054_R04C02,0.961
GSM1051888_5730192015_R06C01,0.984
GSM1051921_5730504014_R01C02,1.046
GSM1051812_7512560103_R03C02,0.915
GSM1051646_7800246018_R06C01,1.029
GSM1051808_7512560103_R05C01,0.891
GSM1052190_5730053041_R01C02,1.033
GSM1051574_7800246132_R02C01,0.888
GSM1051992_5771710048_R02C01,1.140
GSM1051804_7512560103_R01C01,0.924
GSM1052213_5730053048_R06C02,0.906
GSM1051527_7800246024_R03C01,1.001
GSM1051602_7800246140_R02C02,0.991
GSM1051747_7800246044_R02C01,0.909
GSM1051755_7800246044_R04C02,1.003
GSM1051851_7512560128_R01C01,1.076
GSM1052037_5730053011_R06C02,1.567
GSM1051989_5771710030_R03C02,0.986
GSM1051761_7800246046_R05C01,0.852
